STR_NUMBER,COMPLEX_ID,STR_NAME,INSTALL_DA,REMOVAL_DA,geometry
1,80024,B,1997-03-21,2005-07-03,POINT (-91.34868365937501 28.254464709374986)
1,80025,A,1997-04-03,2007-01-23,POINT (-91.48432132968748 29.298732209374975)
1,80026,5,1997-03-18,2010-04-20,POINT (-91.08831090000001 28.661118040625013)
1,40012,4,1997-01-01,1997-03-14,POINT (-94.37178995937501 29.175178670312505)
1,80027,I,1998-03-05,2009-04-21,POINT (-91.2018600203125 28.72090679062501)
1,40013,#9,1997-07-17,2010-05-25,POINT (-93.7917592 29.46563159062498)
1,90148,TEMPLATE,,,POINT (-89.53877734062502 28.81688747031251)
1,1202,C,2002-10-25,2012-05-14,POINT (-92.74223642031251 28.823470170312476)
1,70019,cais B,1997-12-24,2010-11-19,POINT (-90.403812109375 28.609653159375)
1,1206,D,2003-02-06,2003-06-05,POINT (-92.99764779999998 29.287815709375025)
1,70021,B,1997-10-23,2003-09-12,POINT (-88.05773779062503 29.444572870312527)
1,40014,5,1997-04-14,2013-01-31,POINT (-95.06637342968747 28.870783249999988)
1,80029,15,1997-04-27,2018-09-08,POINT (-90.83877852031247 28.977366729687503)
1,60001,A,1997-01-01,2010-08-02,POINT (-96.04386914999998 28.186240620312503)
1,90024,1,1997-04-04,2003-09-01,POINT (-92.10624219062498 29.284843990625006)
1,90025,C,1997-07-30,2014-09-03,POINT (-93.00466832968749 29.284590790624975)
1,1205,D,2003-02-22,2022-10-21,POINT (-92.20580009999998 28.292721229687515)
1,70024,CE,1997-06-04,,POINT (-88.68587739062502 29.464407879687485)
1,1203,A,2003-02-14,2011-02-14,POINT (-92.864736709375 28.00956785937501)
1,1183,A,2002-10-21,2011-06-10,POINT (-92.48959669062498 28.040486929687518)
1,1165,A,2002-11-25,2019-08-10,POINT (-93.32174665937498 27.839588950000007)
1,1208,A,2002-12-06,2010-12-24,POINT (-91.844469409375 28.818169270312524)
1,1229,1,2003-04-12,2007-04-28,POINT (-91.47829185937502 29.08357285937501)
1,1207,A,2003-01-12,,POINT (-88.527083640625 29.333785970312476)
1,1213,E,2002-11-20,2017-09-23,POINT (-92.9377786 29.476337549999982)
2,23196,B,2001-09-03,,POINT (-90.54132025000001 28.195530359375027)
1,1219,A,2004-05-21,2018-07-17,POINT (-91.23772600937502 28.705946429687515)
1,1217,A,2002-12-04,2011-08-08,POINT (-93.49840832968749 28.732351409374985)
1,1216,B,2003-02-11,,POINT (-94.38575542031248 29.093598140624977)
2,21494,A-AUX,2002-12-30,2016-11-16,POINT (-92.95046895000002 29.298738000000014)
2,20067,C-Aux-ROW,1967-01-01,2009-05-08,POINT (-91.93674045 28.6470678296875)
1,1222,C,2003-04-10,2017-04-24,POINT (-92.66159485937499 28.650451690625005)
1,1226,CAIS.#1,2003-03-25,2006-06-30,POINT (-93.38312089062498 29.228564890625023)
2,25012,TRIMARS,1972-03-03,,POINT (-90.76841457031247 28.784292329687503)
1,1232,A,2002-06-03,2010-05-14,POINT (-91.93864117031251 28.88329752031251)
2,20842,I-8,2003-01-01,2023-06-08,POINT (-91.47518049062501 28.990461649999986)
1,1228,A,2003-06-26,2015-06-28,POINT (-91.78302989062502 29.31623062968748)
1,1234,B,2003-06-11,2013-07-14,POINT (-91.69951927968748 28.823991079687517)
1,1237,A,2003-12-17,2016-05-05,POINT (-94.25687090937498 29.159557620312512)
1,1233,A,2003-02-12,2017-08-14,POINT (-95.87982884062501 27.671402940625)
1,1231,B,2003-05-17,2016-12-24,POINT (-94.00879865000002 29.300052190625024)
1,1238,AA,2003-06-21,2010-11-14,POINT (-90.8484522 28.882190159375)
2,21929,Junction,1980-01-01,,POINT (-92.05439074999998 28.411182870312473)
1,1093,E,2004-08-23,,POINT (-89.39591640937499 28.697375709375024)
1,1230,J,2003-01-15,,POINT (-91.00293837968752 28.600391070312526)
1,1239,A,2003-01-24,2013-11-18,POINT (-91.05242500000003 28.74827902031251)
1,28009,B,1994-10-01,1994-10-27,POINT (-93.85467125937498 28.36724435937498)
1,1241,CAIS.#3,2003-06-04,,POINT (-88.96125490937499 29.315405920312514)
1,1248,C,2003-07-10,2009-09-17,POINT (-88.74782175937497 29.589111779687528)
1,26101,C,1996-12-24,,POINT (-90.65205137968752 28.845758359374997)
1,1245,F,2003-04-08,2013-06-03,POINT (-91.57976282968752 29.221905729687478)
1,1242,CAIS.#1,2003-02-01,2009-04-09,POINT (-89.05383675000002 29.33092410937502)
1,1224,A,2002-10-19,,POINT (-90.34274902968752 28.967019990624976)
1,24220,A-1,1995-07-21,2004-01-12,POINT (-88.68883542968751 29.54864880937498)
1,1015,B,2003-05-21,2013-05-20,POINT (-90.42640297968751 28.29687792031251)
2,22021,JA-AUX,2003-04-22,,POINT (-93.17214134062499 29.627764270312525)
1,26130,1,1995-12-31,1995-12-31,POINT (-91.37161642968749 29.184318770312473)
1,26131,N (DUPLICATE),,,POINT (-90.87645987031249 28.529236290625022)
1,813,3,2001-01-01,2011-07-20,POINT (-94.0115713203125 29.292577270312506)
1,24229,A (Ram Powell),1997-05-21,,POINT (-88.091720059375 29.06062965000001)
1,26134,DUPLICATE A,,,POINT (-90.97820065000002 28.52788839062498)
1,90147,SSTEMPLATE,,,POINT (-89.52647392031253 28.82982995937499)
1,27044,CF#2,1995-08-15,,POINT (-92.89972007031253 29.588382650000028)
1,32044,1,2001-03-18,2010-02-19,POINT (-91.46135779999997 28.875541390625017)
1,29042,PLTF.B(CAIS.#17,1997-09-15,2000-08-19,POINT (-93.66073232031249 29.51370059062498)
1,28055,TEMP.CAIS.#1,1996-08-02,1997-11-18,POINT (-94.33785425937498 29.322760970312515)
1,60000,B,1997-03-21,2008-10-20,POINT (-96.53395125937499 28.078439309375028)
1,31006,E,1996-07-10,2018-05-15,POINT (-90.420937809375 28.588474840624997)
1,33031,CAIS.#2,1996-07-12,2000-08-06,POINT (-92.30870514062502 29.28732527031252)
1,29047,A,1996-10-20,2011-03-19,POINT (-93.38586624999999 28.062384870312485)
2,23886,A-QRT,1991-01-01,2018-07-13,POINT (-88.24233800000002 30.175634000000002)
2,22472,9,1996-01-01,2015-03-19,POINT (-92.56688780000002 29.441752279687478)
1,40000,B,1996-10-27,2013-01-23,POINT (-95.0543258796875 28.878907609375005)
1,40004,A(CAISSON-MOPU,1996-12-10,1997-09-01,POINT (-93.58245690937503 28.414355859375007)
1,50004,JA,1997-02-17,2003-10-10,POINT (-93.13107404062498 28.85240947968748)
1,30004,A,1996-11-14,2004-03-21,POINT (-96.633405159375 27.56833425937498)
1,29038,A,1997-03-13,2009-08-11,POINT (-93.66626289999999 29.50692090000001)
1,70006,1,1997-01-25,2001-04-21,POINT (-87.94445557031253 29.947937040624993)
1,70014,12,1997-01-25,2006-09-08,POINT (-88.86571980937498 29.616459209375023)
1,70007,K,1997-02-06,2018-08-17,POINT (-90.210252959375 28.79488459999999)
1,90012,#2,1997-02-12,2001-04-18,POINT (-92.3592089296875 28.707996359374988)
2,28055,PLTF.A(MOPU),1997-01-15,1997-11-15,POINT (-94.3379932703125 29.318257140625008)
2,21162,(37) FLR-E,,,POINT (-90.25937099999999 29.024340999999993)
2,23844,A-TND,1990-01-01,1997-06-21,POINT (-89.706997 28.697810000000004)
1,40006,D,1996-01-01,2016-07-03,POINT (-94.33336977031252 29.265730570312485)
1,40007,A,1997-03-30,2010-08-28,POINT (-94.0430051796875 28.02714985)
1,27056,A (Enchilada),1997-01-28,,POINT (-91.98639815937503 27.87552744062498)
1,32041,C,1996-03-26,,POINT (-92.28009662968748 28.68787669062499)
1,32016,5,1995-11-01,1997-04-15,POINT (-91.00377084062501 28.679552320312496)
1,32037,E,1996-10-27,,POINT (-92.99082482968748 28.171720379687486)
4,23474,B,1996-08-15,,POINT (-88.49663229062497 30.084643040624997)
1,50005,#1,1997-01-18,2007-10-31,POINT (-93.35932005937502 29.267623770312525)
1,31011,A,1996-09-09,2013-07-16,POINT (-90.29445379999999 28.528429029687516)
1,24218,A,1996-10-03,,POINT (-87.86407635 30.04399669999998)
1,90004,A,1997-06-07,2010-03-06,POINT (-92.59077109999998 28.450364999999977)
1,90017,190,1997-04-24,,POINT (-91.8872481203125 29.328317340625006)
1,90023,A,1996-08-19,2003-08-22,POINT (-92.61837562968748 28.011477140625004)
1,90019,CAIS.#193,1997-03-22,,POINT (-91.88140620000001 29.31415989062498)
1,70026,JUNC,1972-01-01,,POINT (-92.29760299062502 28.98823090000002)
2,70026,COMP,1972-01-01,,POINT (-92.29807455937498 28.98783140937502)
3,70026,QTRS,1972-01-01,,POINT (-92.29751807031249 28.987527529687497)
1,40009,3,1997-01-21,2014-06-29,POINT (-94.14583069062502 29.441392540624975)
1,80017,C,1997-03-04,,POINT (-91.76891015000001 28.572642550000012)
1,28058,1,1996-08-29,2008-07-23,POINT (-93.89678774062497 29.47220510937501)
1,40010,2,1997-04-18,2014-06-25,POINT (-94.11811569999998 29.424810009374994)
1,50013,1,1997-04-16,2003-01-10,POINT (-93.12351487031248 29.28069599062502)
1,33029,C,1996-04-13,2000-04-16,POINT (-91.54341619062501 28.604444049999984)
1,90022,A,1997-05-07,2001-11-10,POINT (-92.72335832968753 28.705893379687495)
1,23977,F,1992-04-06,2009-09-30,POINT (-90.68783427031252 28.93238972031247)
1,23989,Q,1992-07-04,1999-05-17,POINT (-90.90114457031251 28.824642190625013)
1,32025,1,1996-05-29,1998-11-19,POINT (-91.9295290296875 28.85708625000001)
1,28041,C,1996-07-02,2000-01-12,POINT (-94.03030607968748 28.14782367968752)
1,28049,D,1996-09-01,2018-08-10,POINT (-93.773694390625 27.888946329687485)
1,29046,A,1996-07-12,2011-09-09,POINT (-93.097214140625 28.12873000000002)
1,29049,A,1996-09-19,2010-06-18,POINT (-93.49912334062498 28.554147959374973)
1,24219,A,1995-08-22,2002-05-08,POINT (-89.14304920000001 28.91250437031249)
1,29045,A,1996-09-03,2018-07-03,POINT (-92.99897317968748 28.172905609374993)
1,26133,21,1995-08-24,2019-05-12,POINT (-91.34754989999999 28.76068095937501)
1,70001,1,1969-01-01,1997-12-18,POINT (-89.02990924062499 29.286212409375025)
1,28050,E,1996-09-30,,POINT (-93.8314922796875 27.955849429687476)
1,29053,C,1996-09-26,2012-10-07,POINT (-93.31410725 29.18179739062498)
1,32034,4,1996-08-04,2014-11-14,POINT (-91.70718234999998 29.10402837968752)
1,26117,7,1995-08-23,2012-08-20,POINT (-91.61991464062498 29.154318359374997)
1,80005,B-1,1996-05-29,2017-08-08,POINT (-91.566661140625 29.01050772031249)
1,27059,B,,,POINT (-92.33401090000001 29.416477590624993)
2,23521,P-VALVE,1996-08-30,,POINT (-91.16053360937502 29.111368890624988)
1,32028,A(SEAHORSE),1996-08-01,2015-10-07,POINT (-92.6686437796875 29.056878179687487)
1,24237,A,1996-05-08,,POINT (-90.136133190625 28.385503540624995)
1,31030,187,1958-01-01,2014-10-18,POINT (-89.2593142 28.981761129687527)
1,31012,H,1996-06-28,,POINT (-90.34685869062503 28.91549977968748)
1,24264,B,1996-05-28,2002-01-23,POINT (-90.08994994062499 28.4272356796875)
2,23821,8,1997-11-21,2012-10-21,POINT (-90.45779705000001 28.5693622296875)
1,31007,A,1996-01-01,2003-09-10,POINT (-89.57711667968749 29.030706259374995)
1,24266,A,1996-05-10,2007-07-11,POINT (-89.0131172203125 28.97413859062499)
1,31029,47(SL 1012),1966-01-01,,POINT (-89.24581925000001 28.98486530937498)
1,31028,52 (SL1012)T,1962-01-01,,POINT (-89.24994667031251 28.984931370312495)
1,24072,6,1996-09-17,2011-06-20,POINT (-92.40932002031252 29.321190100000024)
1,24246,A,1996-06-06,2013-06-16,POINT (-90.47484532031251 28.29864622031249)
1,32027,A,1996-01-01,,POINT (-91.07580899062498 28.228557590624973)
1,90005,3,1996-07-08,2008-07-18,POINT (-92.13323000000003 29.32018499999998)
1,90006,56,1996-09-01,2012-05-15,POINT (-91.99682519999999 28.96749195000001)
1,33028,A(Mahogany),1996-01-01,,POINT (-91.06176944062503 28.061475209374976)
1,30002,4,1996-10-28,2004-08-01,POINT (-96.19099745937501 28.181179240625)
1,24262,7,1995-01-01,2004-08-21,POINT (-88.8552448703125 29.581193550000023)
1,26063,19,1962-01-01,2022-10-12,POINT (-90.62075375937502 28.825564509375)
1,28061,6,1996-01-01,2011-09-30,POINT (-94.27818785937501 29.03337267968749)
1,32031,JA,1996-05-21,2021-10-09,POINT (-90.52904187031248 28.836733579687518)
1,33034,1,1996-07-30,1999-08-03,POINT (-92.45247877968751 29.444997040625026)
1,32023,A,1996-01-01,2016-09-12,POINT (-92.2071378 28.01281760937502)
1,27060,B,1996-02-17,2009-09-29,POINT (-88.86479450000002 29.65322067968748)
1,24260,A,1996-03-13,,POINT (-88.84936577031249 29.652918390625018)
1,27055,D,1996-02-11,2004-05-10,POINT (-92.40727679062502 28.671221849999995)
1,29048,A,1996-06-18,2012-11-01,POINT (-93.64689847968748 29.526997159375014)
1,50000,JA,1996-11-11,2002-08-29,POINT (-93.1685572203125 29.313424859375004)
1,31020,A(No.1),1996-09-29,2001-04-19,POINT (-88.012176759375 29.851781070312484)
1,31017,1,1996-10-04,2001-05-06,POINT (-87.95595544062502 29.860683199999983)
1,31032,A,1996-11-05,2000-06-26,POINT (-88.56305500000002 29.785614859375016)
